title,url
Modern C [pdf],http://icube-icps.unistra.fr/img_auth.php/d/db/ModernC.pdf
China approves $36B railway plan for Jing-Jin-Ji megacity,http://www.reuters.com/article/us-china-infrastructure-idUSKBN13N050
Wrong signal,https://it-kollektiv.com/wrong-signal-das-falsche-signal-engl/
Making graphics in 4 kilobytes (2008) [pdf],http://iquilezles.org/www/articles/proceduralgfx/inspire2008.pdf
Theorem of the Day,http://www.theoremoftheday.org/Theorems.html
Ted Chiang on Seeing His Stories Adapted and the Ever-Expanding Popularity of SF,https://electricliterature.com/the-legendary-ted-chiang-on-seeing-his-stories-adapted-for-the-screen-and-the-ever-expanding-916a9530e598
Von Neumann Defense Force is now publicly available,http://hannobraun.de/vndf/news/the-source-code-is-now-public/
Show HN: Antd – A set of high-quality React components,https://ant.design/docs/react/introduce
You can submit five non-Amazon verified purchase reviews each week,http://www.bbc.com/news/technology-38130838
"Simplify Your Message, and Repeat Often",http://www.nytimes.com/2016/11/23/business/john-lilly-simplify-your-message-and-repeat-often.html
Ant species cultivates coffee for accommodation,http://m.dw.com/en/ant-species-cultivates-coffee-for-accommodation/a-36477533
The Evolution of ‘Like’,http://www.theatlantic.com/entertainment/archive/2016/11/the-evolution-of-like/507614/?single_page=true
Configuring a High Interactivity SSH HoneyPot,https://www.robertputt.co.uk/2016/11/28/learn-from-your-attackers-ssh-honeypot/
Japan plans 130-petaflops supercomputer,http://arstechnica.com/business/2016/11/supercomputer-japan-130-petaflop-china-beating-number-cruncher/
A vi-centric family tree of editors (2000),http://web.mit.edu/kolya/misc/txt/editors
Give Congress Time to Debate New Government Hacking Rule,https://www.eff.org/deeplinks/2016/11/give-congress-time-debate-new-government-hacking-rule
HPACK: the silent killer (feature) of HTTP/2,http://blog.cloudflare.com/hpack-the-silent-killer-feature-of-http-2/
Facsimile of the Voynich Manuscript Now Available to Citizen Cryptographers,http://hyperallergic.com/335505/voynich-manuscript-facsimile-published-yale-university/
"Extreme Multi-label Loss Functions for Recommendation, Tagging, Ranking [pdf]",https://manikvarma.github.io/pubs/jain16.pdf
Deutsche Telekom says 900k fixed-line customers suffer outages,http://in.reuters.com/article/deutsche-telekom-outages-idINL8N1DT1FV
"Physics, Topology, Logic, and Computation: A Rosetta Stone (2009)",https://arxiv.org/abs/0903.0340v3
Dockerizing MySQL at Uber Engineering,https://eng.uber.com/dockerizing-mysql/
Big News in Databases,http://use-the-index-luke.com/blog/2016-11/big-news-in-databases
Show HN: DIY Position Tracking Using HTC Vive's Lighthouse,https://github.com/ashtuchkin/vive-diy-position-sensor
Learning to Read X86 Assembly Language,http://patshaughnessy.net/2016/11/26/learning-to-read-x86-assembly-language
When Free Software Isn't (Practically) Superior,https://www.gnu.org/philosophy/when-free-software-isnt-practically-superior.html
OpenBSD on PC Engines APU2,https://github.com/elad/openbsd-apu2
LaiNES – Cycle-accurate NES emulator in around 1000 lines of code,https://github.com/AndreaOrru/LaiNES
Probabilistic Programming,https://www.cs.cornell.edu/Courses/cs4110/2016fa/lectures/lecture33.html
Let's Colonize Titan,https://blogs.scientificamerican.com/guest-blog/lets-colonize-titan/
url,title
http://www.cis.upenn.edu/~stevez/vellvm/#,Vellvm: Verifying the LLVM (2015)
http://icube-icps.unistra.fr/img_auth.php/d/db/ModernC.pdf,Modern C [pdf]
http://blog.datomic.com/2016/11/datomic-update-client-api-unlimited.html,"Datomic Update: Client API, Unlimited Peers, Enterprise Edition, and More"
https://gchq.github.io/CyberChef/,GCHQ CyberChef – The Cyber Swiss Army Knife
https://it-kollektiv.com/wrong-signal-das-falsche-signal-engl/,Wrong signal
https://electricliterature.com/the-legendary-ted-chiang-on-seeing-his-stories-adapted-for-the-screen-and-the-ever-expanding-916a9530e598,Ted Chiang on Seeing His Stories Adapted and the Ever-Expanding Popularity of SF
http://hannobraun.de/vndf/news/the-source-code-is-now-public/,Von Neumann Defense Force is now publicly available
http://iquilezles.org/www/articles/proceduralgfx/inspire2008.pdf,Making graphics in 4 kilobytes (2008) [pdf]
http://www.theatlantic.com/entertainment/archive/2016/11/the-evolution-of-like/507614/?single_page=true,The Evolution of ‘Like’
http://www.theoremoftheday.org/Theorems.html,Theorem of the Day
https://ant.design/docs/react/introduce,Show HN: Antd – A set of high-quality React components
http://www.nytimes.com/2016/11/23/business/john-lilly-simplify-your-message-and-repeat-often.html,"Simplify Your Message, and Repeat Often"
http://www.bbc.com/news/technology-38130838,You can submit five non-Amazon verified purchase reviews each week
http://m.dw.com/en/ant-species-cultivates-coffee-for-accommodation/a-36477533,Ant species cultivates coffee for accommodation
https://www.robertputt.co.uk/2016/11/28/learn-from-your-attackers-ssh-honeypot/,Configuring a High Interactivity SSH HoneyPot
http://arstechnica.com/business/2016/11/supercomputer-japan-130-petaflop-china-beating-number-cruncher/,Japan plans 130-petaflops supercomputer
http://www.reuters.com/article/us-china-infrastructure-idUSKBN13N050,China approves $36B railway plan for Jing-Jin-Ji megacity
https://www.eff.org/deeplinks/2016/11/give-congress-time-debate-new-government-hacking-rule,Give Congress Time to Debate New Government Hacking Rule
http://hyperallergic.com/335505/voynich-manuscript-facsimile-published-yale-university/,Facsimile of the Voynich Manuscript Now Available to Citizen Cryptographers
https://manikvarma.github.io/pubs/jain16.pdf,"Extreme Multi-label Loss Functions for Recommendation, Tagging, Ranking [pdf]"
http://www.newyorker.com/culture/persons-of-interest/the-troubadour-and-the-lady-kaija-saariaho-lamour-de-loin,The Troubadour and the Lady
https://eng.uber.com/dockerizing-mysql/,Dockerizing MySQL at Uber Engineering
http://in.reuters.com/article/deutsche-telekom-outages-idINL8N1DT1FV,Deutsche Telekom says 900k fixed-line customers suffer outages
http://patshaughnessy.net/2016/11/26/learning-to-read-x86-assembly-language,Learning to Read X86 Assembly Language
https://github.com/ashtuchkin/vive-diy-position-sensor,Show HN: DIY Position Tracking Using HTC Vive's Lighthouse
http://use-the-index-luke.com/blog/2016-11/big-news-in-databases,Big News in Databases
http://blog.cloudflare.com/hpack-the-silent-killer-feature-of-http-2/,HPACK: the silent killer (feature) of HTTP/2
http://web.mit.edu/kolya/misc/txt/editors,A vi-centric family tree of editors (2000)
https://github.com/AndreaOrru/LaiNES,LaiNES – Cycle-accurate NES emulator in around 1000 lines of code
https://www.cs.cornell.edu/Courses/cs4110/2016fa/lectures/lecture33.html,Probabilistic Programming
